,IdJuego,platforms
891,48110,windows
892,48150,windows
893,48190,windows
894,48240,windows
895,48700,windows;mac;linux
896,48720,windows
897,48800,windows
898,48950,windows
899,49000,windows;mac
900,49300,windows
901,49320,windows
902,49470,windows
903,49520,windows;mac;linux
904,49600,windows;mac;linux
905,49800,windows;mac
906,49810,windows;mac
907,49900,windows
908,50000,windows
909,50130,windows;mac
910,50300,windows;mac;linux
911,50510,windows
912,50910,windows;mac
913,50920,windows
914,50930,windows
915,50940,windows
916,50960,windows
917,50970,windows
918,50980,windows
919,50990,windows
920,51000,windows
921,51010,windows;mac
922,51020,windows;mac
923,51030,windows;mac
924,51060,windows
925,55000,windows;mac;linux
926,55040,windows;mac;linux
927,55100,windows
928,55110,windows
929,55140,windows
930,55150,windows
931,55230,windows;linux
932,57000,windows;mac
933,57200,windows;mac
934,57300,windows;mac;linux
935,57620,windows
936,57640,windows;mac;linux
937,57650,windows
938,57680,windows
939,57690,windows;mac
940,57700,windows
941,57740,windows;mac;linux
942,57800,windows;mac
943,57900,windows;mac
944,58200,windows;mac
945,58230,windows;mac
946,58400,windows
947,58520,windows
948,58550,windows
949,58560,windows
950,58570,windows;mac
951,58610,windows;mac;linux
952,60340,windows;mac
953,60350,windows;mac
954,60600,windows
955,60700,windows;mac
956,60800,windows
957,61100,windows
958,61310,windows;mac
959,61500,windows
960,61510,windows
961,61520,windows
962,61600,windows;mac;linux
963,61700,windows
964,61730,windows;mac
965,62000,windows;mac
966,62100,windows
967,63000,windows;mac;linux
968,63110,windows
969,63200,windows
970,63500,windows;mac
971,63610,windows;mac
972,63650,windows;mac
973,63660,windows;mac
974,63700,windows;mac
975,63710,windows;mac
976,63800,windows
977,63900,windows
978,63910,windows
979,63940,windows
980,63960,windows
981,64000,windows
982,65070,windows
983,65080,windows;mac
984,65270,windows
985,65400,windows
986,65500,windows
987,65530,windows
988,65540,windows
989,65560,windows
990,65600,windows
991,65610,windows
992,65710,windows
993,65730,windows
994,65740,windows
995,65780,windows
996,65790,windows
997,65800,windows;mac;linux
998,65930,windows;mac
999,65980,windows;mac;linux
1000,67000,windows;mac;linux
1001,67370,windows;mac
1002,70000,windows
1003,70100,windows;mac;linux
1004,70110,windows;mac;linux
1005,70120,windows;mac;linux
1006,70200,windows
1007,70210,windows
1008,70300,windows;mac;linux
1009,70400,windows
1010,70420,windows
1011,70500,windows;mac
1012,70600,windows
1013,70620,windows;mac
1014,70640,windows
1015,70650,windows
1016,70660,windows
1017,70900,windows
1018,71000,windows
1019,71230,windows
1020,71240,windows
1021,71260,windows
1022,71340,windows
1023,72000,windows;linux
1024,72400,windows
1025,72850,windows
1026,72900,windows
1027,73010,windows;mac;linux
1028,73060,windows
1029,73170,windows
1030,73190,windows
1031,73210,windows
1032,73220,windows
1033,78000,windows;mac
1034,80000,windows
1035,80200,windows;mac
1036,80300,windows
1037,80310,windows;mac;linux
1038,80330,windows;mac;linux
1039,80340,windows;mac;linux
1040,80350,windows;mac;linux
1041,80360,windows
1042,90200,windows;mac
1043,90400,windows
1044,91100,windows
1045,91200,windows;mac;linux
1046,91330,windows
1047,91600,windows;mac
1048,91700,windows
1049,91800,windows
