,IdJuego,categories
232,9200,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support
233,9310,Single-player;Multi-player
234,9340,Single-player;Multi-player;Steam Cloud
235,9350,Single-player;Multi-player
236,9420,Single-player;Multi-player
237,9450,Single-player;Multi-player;Steam Cloud
238,9460,Single-player;Co-op;Steam Cloud
239,9480,Single-player;Steam Cloud
240,9500,Single-player;Multi-player
241,9710,Single-player
242,9760,Single-player;Multi-player
243,9800,Single-player;Steam Cloud
244,9850,Single-player;Multi-player;Co-op
245,9880,Multi-player;MMO;Co-op;Steam Achievements
246,9900,Multi-player;MMO;Co-op;Steam Achievements;Full controller support;In-App Purchases
247,9940,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud
248,9960,Single-player;Partial Controller Support
249,9970,Single-player;Partial Controller Support
250,9980,Single-player
251,10090,Single-player;Multi-player;Co-op
252,10100,Single-player
253,10110,Single-player
254,10120,Single-player
255,10130,Single-player;Multi-player
256,10140,Single-player
257,10150,Single-player
258,10180,Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled
259,10220,Single-player;Steam Achievements
260,10230,Single-player
261,10240,Single-player
262,10250,Single-player;Multi-player
263,10260,Single-player;Multi-player
264,10270,Single-player;Multi-player
265,10460,Single-player;Multi-player;Partial Controller Support
266,10500,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Stats
267,10680,Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards
268,11020,Single-player;Multi-player;Includes level editor
269,11040,Single-player
270,11050,Single-player
271,11130,Single-player
272,11140,Single-player
273,11150,Single-player
274,11190,Single-player
275,11200,Single-player;Shared/Split Screen;Steam Trading Cards;Includes level editor
276,11230,Single-player;Multi-player
277,11240,Single-player;Multi-player;Co-op;Steam Achievements
278,11250,Single-player;Multi-player;Steam Trading Cards
279,11260,Single-player;Multi-player;Steam Trading Cards
280,11280,Single-player;Multi-player;Online Multi-Player;Steam Trading Cards
281,11330,Single-player;Steam Achievements
282,11340,Single-player;Steam Achievements
283,11360,Single-player
284,11450,Single-player;Partial Controller Support
285,11480,Single-player;Multi-player;Co-op
286,11560,Single-player
287,11590,Single-player
288,12100,Single-player;Partial Controller Support
289,12110,Single-player;Partial Controller Support
290,12120,Single-player
291,12130,Single-player
292,12140,Single-player
293,12150,Single-player
294,12170,Single-player
295,12180,Single-player
296,12200,Single-player;Partial Controller Support
297,12210,Single-player;Multi-player;Partial Controller Support
298,12220,Single-player;Multi-player
299,12310,Single-player
300,12320,Single-player
301,12330,Single-player
302,12340,Single-player;Steam Trading Cards
303,12360,Single-player;Multi-player
304,12390,Single-player;Multi-player;Partial Controller Support
305,12420,Single-player;Multi-player
306,12430,Single-player
307,12440,Single-player
308,12450,Single-player
309,12460,Single-player;Multi-player
310,12470,Single-player
311,12480,Single-player
312,12500,Single-player;Multi-player;Steam Cloud
313,12510,Single-player
314,12520,Single-player
315,12530,Single-player
316,12540,Single-player
317,12560,Single-player
318,12590,Single-player;Multi-player
319,12600,Single-player
320,12640,Single-player
321,12670,Single-player
322,12710,Single-player;Partial Controller Support
323,12770,Single-player;Full controller support
324,12790,Single-player;Multi-player;Co-op
325,12810,Single-player
326,12830,Single-player;Partial Controller Support
327,13000,Single-player;Multi-player;Steam Achievements
328,13140,Single-player;Multi-player;Steam Achievements;Steam Cloud
329,13200,Single-player
330,13210,Single-player;Multi-player;Co-op;Steam Achievements
331,13230,Single-player;Multi-player;Steam Trading Cards
332,13240,Single-player;Multi-player
333,13250,Single-player;Multi-player
334,13500,Single-player
335,13520,Single-player
336,13530,Single-player;Partial Controller Support
337,13540,Single-player;Multi-player
338,13560,Single-player
339,13570,Single-player
340,13580,Single-player
341,13600,Single-player
342,13620,Single-player;Multi-player
343,15000,Single-player;Multi-player
344,15080,Single-player
345,15100,Single-player;Partial Controller Support
346,15120,Single-player;Multi-player;Co-op
347,15130,Single-player
348,15160,Single-player
349,15170,Single-player
350,15190,Single-player
351,15200,Single-player;Multi-player
352,15210,Single-player;Multi-player;Co-op
353,15240,Single-player;Multi-player
354,15270,Single-player
355,15300,Single-player;Co-op
356,15320,Single-player;Multi-player;Steam Cloud;Includes level editor
357,15370,Single-player
358,15380,Single-player
359,15390,Single-player
360,15400,Single-player;Steam Achievements
361,15500,Single-player;Steam Achievements;Partial Controller Support
362,15520,Single-player;Steam Achievements;Steam Leaderboards
363,15560,Single-player;Steam Achievements;Full controller support;Steam Leaderboards
364,15620,Single-player;Multi-player;Co-op;Steam Trading Cards;Steam Cloud
365,15700,Single-player;Steam Trading Cards
366,15710,Single-player
367,15740,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support
368,15750,Single-player;Steam Achievements
369,15800,Single-player;Steam Achievements;Partial Controller Support
370,15900,Single-player
371,15910,Single-player
372,15920,Single-player
373,15930,Single-player
374,15960,Single-player
375,15970,Single-player
376,16000,Single-player
377,16020,Single-player
378,16030,Single-player
379,16040,Single-player
380,16060,Single-player
381,16100,Single-player
382,16110,Single-player
383,16120,Single-player
384,16130,Single-player
385,16180,Single-player
386,16200,Single-player
387,16450,Single-player;Multi-player
388,16500,Single-player;Steam Achievements
389,16600,Single-player;Multi-player;Steam Achievements
390,16620,Single-player
391,16710,Single-player
392,16720,Single-player;Partial Controller Support
393,16730,Single-player
394,16810,Single-player;Multi-player
395,16900,Single-player;Online Multi-Player;Online Co-op;VR Support;Partial Controller Support
396,17080,Multi-player;Co-op
397,17100,Single-player;Steam Achievements
398,17120,Single-player;Steam Achievements
399,17140,Single-player;Steam Achievements
400,17180,Single-player;Steam Achievements
401,17300,Single-player
402,17330,Single-player
403,17390,Single-player
404,17410,Single-player;Full controller support;Partial Controller Support
405,17430,Single-player;Multi-player;Partial Controller Support
406,17440,Single-player
407,17450,Single-player
408,17460,Single-player
409,17470,Single-player;Full controller support
410,17480,Single-player
411,17500,Multi-player;Co-op;Mods;Mods (require HL2);Steam Achievements;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor;Includes Source SDK
412,17570,Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Mods;Steam Achievements;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor;Includes Source SDK
413,17710,Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor
414,17740,Multi-player;Cross-Platform Multiplayer;Steam Cloud;Includes level editor;Includes Source SDK
415,18000,Single-player;Steam Achievements
416,18020,Single-player;Steam Achievements
417,18040,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards
418,18050,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards
419,18070,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards
420,18120,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards
421,18300,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support
422,18400,Single-player;Steam Trading Cards
423,18420,Single-player
424,18470,Single-player
425,18480,Single-player
