,IdJuego,steamspy_tags
454,21030,Action;Superhero;Beat 'em up
455,21090,Horror;FPS;Action
456,21100,FPS;Horror;Co-op
457,21130,LEGO;Adventure;Action
458,21300,Arcade
459,21400,Strategy;Indie;Action
460,21500,Racing;Sci-fi
461,21640,Strategy;Casual;Puzzle
462,21660,Fighting;Action;Arcade
463,21670,Action;Adventure;Third Person
464,21680,Action;Platformer;Remake
465,21690,Action;Zombies;Co-op
466,21780,Racing;Action;Open World
467,21800,Strategy;RTS;Tactical
468,21980,Western;Action;FPS
469,22000,Puzzle;Indie;Physics
470,22100,RPG;Medieval;Open World
471,22120,Horror;Adventure;First-Person
472,22130,Strategy;Grand Strategy;World War II
473,22180,Horror;Adventure;First-Person
474,22200,Action;Indie;Surreal
475,22230,Comedy;Indie;Strategy
476,22300,Open World;Post-apocalyptic;RPG
477,22310,Action;FPS;Comedy
478,22320,RPG;Open World;Fantasy
479,22330,Open World;RPG;Fantasy
480,22350,FPS;Action;Multiplayer
481,22370,Open World;RPG;Post-apocalyptic
482,22380,Open World;RPG;Post-apocalyptic
483,22450,Action;Adventure;Third Person
484,22500,Strategy;Card Game
485,22600,Strategy;2D;Turn-Based
486,22610,Action;Shooter;Sci-fi
487,22650,Action;Shooter;Isometric
488,22670,Action;Shooter;Third Person
489,23150,Indie;Casual
490,23300,Casual;Puzzle
491,23380,RPG;Puzzle;Match 3
492,23400,Strategy;Simulation;City Builder
493,23420,Strategy;Grand Strategy;Historical
494,23450,Strategy;City Builder;Simulation
495,23460,Adventure;Point & Click;Strategy
496,23490,Simulation;Strategy;City Builder
497,23500,RPG;Casual;Match 3
498,23530,Action;Third-Person Shooter;Co-op
499,23600,Strategy;RPG;Indie
500,23700,Casual;Puzzle;Match 3
501,24010,Simulation;Trains;Singleplayer
502,24200,Free to Play;Superhero;Massively Multiplayer
503,24240,FPS;Action;Co-op
504,24400,Strategy;RPG;Fantasy
505,24410,Strategy;Medieval;Historical
506,24420,Metroidvania;Indie;Female Protagonist
507,24460,Strategy;RPG;Fantasy
508,24480,Strategy;RPG;RTS
509,24640,Simulation;Trains
510,24650,Simulation;Trains
511,24670,Simulation;Trains;Multiplayer
512,24720,Simulation;Action;Space
513,24740,Racing;Open World;Multiplayer
514,24780,Simulation;City Builder;Strategy
515,24790,Strategy;RTS;Base-Building
516,24800,Strategy;RTS;Base-Building
517,24810,Strategy;RTS;Base-Building
518,24840,Action;World War II;FPS
519,24870,Racing;Simulation;Multiplayer
520,24960,FPS;Multiplayer;Action
521,24980,RPG;Sci-fi;Story Rich
522,25000,Parkour;Action;Indie
523,25010,Action;Indie;Martial Arts
524,25500,Sports;Simulation;Indie
525,25600,RPG;Indie;Isometric
526,25620,RPG;Indie;Isometric
527,25700,Indie;Action;Shooter
528,25800,Strategy;Grand Strategy;Historical
529,25830,Strategy;Medieval;Grand Strategy
530,25850,Strategy;RPG;Turn-Based Strategy
531,25890,Grand Strategy;World War II;Strategy
532,25900,RPG;Strategy;Turn-Based Strategy
533,25910,Strategy;Simulation;Grand Strategy
534,25930,Strategy;Economy;Historical
535,25980,Strategy;Simulation;Fantasy
536,25990,Strategy;Simulation;Fantasy
537,26000,Indie;Platformer;Cute
538,26300,Action;Indie
539,26800,Puzzle;Platformer;Indie
540,26900,Indie;Casual;Puzzle
541,27000,Walking Simulator;Indie;Horror
542,27020,Walking Simulator;Indie;Short
543,27050,Indie;Adventure;Casual
544,27200,Sports
545,27330,Action;FPS;Multiplayer
546,27400,Indie;RPG;Casual
547,27600,Indie;Casual;Music
548,27800,Indie;Psychedelic;Arcade
549,27810,Arcade;Indie;Psychedelic
550,27900,Action;Adventure;Puzzle
551,27920,Action;Indie;Platformer
552,27940,Action;Zombies;Indie
553,28000,Action;Co-op;Third-Person Shooter
554,29120,Casual;Indie
555,29130,Indie;Casual;Puzzle
556,29160,Adventure;Indie;Short
557,29180,Indie;Casual;Puzzle
558,29800,Action;Indie;Adventure
559,29900,Action;Third-Person Shooter;Singleplayer
560,31270,Puzzle;Adventure;Point & Click
561,31300,Action;FPS
562,31800,Adventure;Point & Click;Female Protagonist
563,31810,Adventure;Point & Click;Mystery
564,31820,Adventure;Point & Click;Mystery
565,31830,Adventure;Point & Click;Mystery
566,31840,Adventure;Point & Click;Mystery
567,31850,Adventure;Point & Click;Mystery
568,31860,Adventure;Point & Click;Mystery
569,31870,Adventure;Casual;Female Protagonist
570,31880,Adventure;Point & Click;Mystery
571,31890,Action;Point & Click;Puzzle
572,31900,Adventure;Point & Click;Female Protagonist
573,31910,Adventure;Point & Click;Puzzle
574,31920,Adventure;Point & Click;Puzzle
575,31930,Adventure;Point & Click;Mystery
576,31980,Adventure;Point & Click;Puzzle
577,32000,Indie;Casual
578,32110,Casual;Puzzle;Singleplayer
579,32120,Casual;Puzzle;Match 3
580,32140,Adventure;Casual;Hidden Object
581,32150,Casual;Puzzle;Indie
582,32160,Bowling;Zombies;Casual
583,32200,Action;Indie;Racing
584,32310,Adventure;Point & Click;Classic
585,32330,Adventure;Action;LEGO
586,32340,Adventure;Point & Click;Classic
587,32350,Action;Simulation;Star Wars
588,32360,Point & Click;Adventure;Comedy
589,32370,RPG;Star Wars;Sci-fi
590,32380,Action;Star Wars;FPS
591,32390,Action;Star Wars;FPS
592,32400,FPS;Star Wars;Action
593,32410,Casual;Platformer;Puzzle
594,32420,Action;Star Wars;Singleplayer
595,32430,Action;Star Wars;Third Person
596,32440,LEGO;Star Wars;Adventure
597,32450,Adventure;LEGO;Action
598,32460,Adventure;Point & Click;Comedy
599,32470,Strategy;Star Wars;RTS
600,32500,Action;Star Wars;Sci-fi
601,32510,LEGO;Star Wars;Action
602,32610,Action;FPS
603,32620,Action;FPS;Military
604,32630,Action;FPS;Classic
605,32640,Action;FPS;Tactical
606,32650,Action;FPS
607,32660,Action;FPS
608,32670,Action;FPS;Military
609,32680,Action;FPS
610,32710,Simulation;Tanks
611,32720,Simulation;Flight
612,32730,Simulation;Flight
613,32740,Simulation;Flight
614,32750,Action;Simulation;Flight
615,32760,Simulation;Space;Space Sim
616,32770,Action;Multiplayer;FPS
617,32900,Simulation;Management;Casual
618,33100,Action;Shooter;Indie
619,33110,Action;RPG;Indie
620,33120,Action;Indie;RPG
621,33130,Action;Zombies;RPG
622,33180,Action;Zombies;RPG
623,33230,Action;Open World;Adventure
624,33320,Action;Adventure;Platformer
625,33390,Action;Indie;Shoot 'Em Up
626,33460,God Game;Simulation;Adventure
627,33520,Simulation;City Builder;Strategy
628,33570,Strategy;Simulation;Trading
629,33600,Point & Click;Adventure;Mystery
630,33610,Adventure;Mystery;Point & Click
631,33620,Racing;Action;Open World
632,33650,Casual;Puzzle;Singleplayer
633,33660,Casual;Indie;Puzzle
634,33670,Strategy;RPG;Turn-Based
635,33680,Platformer;Indie;Horror
636,33760,Casual;Hidden Object
637,33770,RPG;Fantasy;Singleplayer
638,33790,Casual;Hidden Object
639,33900,Simulation;Military;Action
640,33930,Simulation;Action;Military
641,33950,Casual;Indie;Puzzle
642,33980,Action;Zombies;Third-Person Shooter
643,33990,Adventure;Point & Click;Sci-fi
644,34010,RPG;Stealth;Action
645,34030,Strategy;Historical;Grand Strategy
646,34190,Racing;Local Multiplayer;Arcade
647,34410,Stealth;Action;Third Person
648,34420,Strategy;Medieval;RTS
649,34500,Strategy;Indie;Simulation
650,34600,Strategy;World War II;RTS
651,34630,Strategy;Turn-Based;Turn-Based Strategy
652,34640,Strategy;Turn-Based
653,34800,Adventure;Point & Click;Female Protagonist
654,34810,Action;Simulation;Space
655,34820,Simulation;Flight;World War II
656,34830,Action;Sniper;FPS
657,34870,Sniper;Action;FPS
658,34900,Cult Classic;Physics;Indie
659,34920,Action;Indie;Casual
660,35000,Adventure;Action;Ninja
661,35070,Casual;Agriculture
662,35130,Action;Adventure;Co-op
663,35140,Action;Batman;Stealth
664,35300,Strategy;RTS;Military
665,35310,Racing;Action;Zombies
666,35320,Racing;Offroad;Action
667,35450,Realistic;World War II;FPS
668,35460,Puzzle;Action;Indie
669,35480,Strategy;Casual;Indie
670,35600,Adventure;Casual;Strategy
671,35700,Platformer;Fantasy;Puzzle
672,35720,Platformer;Adventure;Puzzle
673,35800,Casual;Indie;Psychedelic
674,36000,Action;Indie;Third Person
675,36100,Casual;Adventure
676,36130,Casual
677,36180,Casual;Time Management
678,36210,Casual;Tower Defense
679,36240,Casual;Hidden Object
680,36300,Casual;Time Management
