,nombre,categoria,direccion_completa,barrio,comuna
309,BOCADOS,RESTAURANTE,"SEGUI, JUAN FRANCISCO 4611",Palermo,Comuna 14
310,BOCADOS CAFE,CAFE,DIRECTORIO AV. 3999,Parque Avellaneda,Comuna 9
311,BOCHICHA,RESTAURANTE,"BROWN, ALTE. AV. 802",Boca,Comuna 4
312,BODEGA 52,RESTAURANTE,"RAVIGNANI, EMILIO, Dr. 1905",Palermo,Comuna 14
313,BODEN SEE,RESTAURANTE,ORTEGA Y GASSET 1880,Palermo,Comuna 14
314,BOEDO ANTIGUO,RESTAURANTE,"MARMOL, JOSE 1692",Boedo,Comuna 5
315,BOHEMIA,RESTAURANTE,CABILDO AV. 4212,Saavedra,Comuna 12
316,BOKOTO,RESTAURANTE,HUERGO 261,Palermo,Comuna 14
317,BOLOGNA,RESTAURANTE,ALVAREZ JONTE AV. 4501,Monte Castro,Comuna 10
318,BOM FIM,RESTAURANTE,DEL LIBERTADOR AV. 3883,Palermo,Comuna 14
319,BOMPLER,RESTAURANTE,SARMIENTO 570,San Nicolas,Comuna 1
320,BOM TEMPO,RESTAURANTE,YERBAL 2501,Flores,Comuna 7
321,BON BIJOU,PUB,CUENCA 2756,Villa Del Parque,Comuna 11
322,BON JOUR,RESTAURANTE,GUEMES 3299,Recoleta,Comuna 2
323,BONJOUR - PIZZA,RESTAURANTE,GUEMES 3299,Recoleta,Comuna 2
324,BOQUITAS PINTADAS,,ESTADOS UNIDOS 1393,Constitucion,Comuna 1
325,BORDO,RESTAURANTE,CORRIENTES AV. 799,San Nicolas,Comuna 1
326,BORDO BAR,PUB,REPUBLICA DE LA INDIA 2895,Palermo,Comuna 14
327,BOREAL,CAFE,SALTA 1391,Constitucion,Comuna 1
328,BORGOÃƒâ€˜A,CAFE,"YRIGOYEN, HIPOLITO 2700",Balvanera,Comuna 3
329,BOSTON CITY,RESTAURANTE,FLORIDA 165,San Nicolas,Comuna 1
330,BOUTIQUE DEL LIBRO,PUB,THAMES 1762,Palermo,Comuna 14
331,BRASIAS,RESTAURANTE,SEGUROLA AV. 87,Floresta,Comuna 10
332,BRAULIO,RESTAURANTE,BAEZ 518,Palermo,Comuna 14
333,BRAVO,CAFE,RIVADAVIA AV. 4701,Caballito,Comuna 6
334,BRAZILIAN,RESTAURANTE,DIRECTORIO AV. 1969,Flores,Comuna 7
335,BREAD FACTORY,CAFE,"MITRE, BARTOLOME 747",San Nicolas,Comuna 1
336,BREAD NOIR,,TUCUMAN 980,San Nicolas,Comuna 1
337,BREAK TIME,RESTAURANTE,25 DE MAYO 536,San Nicolas,Comuna 1
338,BREMEN,CAFE,RIVADAVIA AV. 4585,Almagro,Comuna 5
339,BRETON,RESTAURANTE,SARMIENTO 1548,San Nicolas,Comuna 1
340,BRICCO,RESTAURANTE,JUNCAL 2295,Recoleta,Comuna 2
341,BRICK,RESTAURANTE,CORRIENTES AV. 1792,San Nicolas,Comuna 1
342,BRIS,RESTAURANTE,COSTA RICA 4592,Palermo,Comuna 14
343,BROA,CAFE,CRAMER 4599,Saavedra,Comuna 12
344,BROCCOLINO,RESTAURANTE,ESMERALDA 776,San Nicolas,Comuna 1
345,BROKER BAR,RESTAURANTE,SARMIENTO 342,San Nicolas,Comuna 1
346,BRUJAS,RESTAURANTE,"BORGES, JORGE LUIS 1640",Palermo,Comuna 14
347,BRULE,CAFE,GORRITI 3600,Recoleta,Comuna 2
348,BRUNCH,CAFE,AYACUCHO 966,Recoleta,Comuna 2
349,BRUNELLO,RESTAURANTE,"VEGA, NICETO, Cnel. 4992",Palermo,Comuna 14
350,BS.AS. ESPRESSO,RESTAURANTE,GUEMES 4229,Palermo,Comuna 14
351,BUDAPEST,RESTAURANTE,25 DE MAYO 690,San Nicolas,Comuna 1
352,BUDDHABA,RESTAURANTE,ARRIBEÃƒâ€˜OS 2290,Belgrano,Comuna 13
353,BUENA SUERTE,RESTAURANTE,RIVADAVIA AV. 1689,San Nicolas,Comuna 1
354,BUEN GUSTO,RESTAURANTE,LAS HERAS GENERAL AV. 2101,Recoleta,Comuna 2
355,BUENOS AIRES NEWS,RESTAURANTE,DEL LIBERTADOR AV. 3883,Palermo,Comuna 14
356,BUENOS MUCHACHOS,RESTAURANTE,CORDOBA AV. 2574,Balvanera,Comuna 3
357,BUHO,RESTAURANTE,MONTAÃƒâ€˜ESES 2785,Belgrano,Comuna 13
358,BULLEN,PUB,"ORTIZ, ROBERTO M., Pres. 1827",Recoleta,Comuna 2
359,BUNGALO,RESTAURANTE,RIVADAVIA AV. 2210,Balvanera,Comuna 3
360,BUON,CAFE,RIVADAVIA AV. 6200,Caballito,Comuna 6
361,BURGER KING,RESTAURANTE,CORDOBA AV. 2332,Balvanera,Comuna 3
362,BURGUER KING,PUB,SANTA FE AV. 2575,Recoleta,Comuna 2
363,BURGUER KING,RESTAURANTE,RIVADAVIA AV. 4607,Caballito,Comuna 6
364,BURZAKO,RESTAURANTE,MEXICO 345,Monserrat,Comuna 1
365,BUZIOS,RESTAURANTE,PARAGUAY 2400,Recoleta,Comuna 2
366,BÃ‚Â SICO,RESTAURANTE,MAURE 4061,Chacarita,Comuna 15
367,CABALLITO SPORT,RESTAURANTE,"ALVAREZ, DONATO, Tte. Gral. 1481",Caballito,Comuna 6
368,CABAÃƒâ€˜A COLONIA BARRACAS,RESTAURANTE,OLAVARRIA 1601,Barracas,Comuna 4
369,CABERNET,RESTAURANTE,"BORGES, JORGE LUIS 1757",Palermo,Comuna 14
370,CAFE ALBERDI,CAFE,"ALBERDI, JUAN BAUTISTA AV. 500",Caballito,Comuna 6
371,CAFE AZNAR,RESTAURANTE,TUCUMAN 1602,San Nicolas,Comuna 1
372,CAFE BAR,RESTAURANTE,LA PLATA AV. 1620,Boedo,Comuna 5
373,CAFE BAR CHISOL,RESTAURANTE,CHILE 1699,Monserrat,Comuna 1
374,CAFE BAR DE LOS ARTISTAS,BAR,"ARAOZ DE LAMADRID, GREGORIO, GRAL. 784",Boca,Comuna 4
375,CAFE BAR FILIBERTO,RESTAURANTE,MAGALLANES 825,Boca,Comuna 4
376,CAFE BARI,BAR,SARMIENTO 561,San Nicolas,Comuna 1
377,CAFE BORDO,,DE LOS CONSTITUYENTES AV. 5189,Villa Urquiza,Comuna 12
378,CAFE BOUQUET,,CABILDO AV. 1400,Colegiales,Comuna 13
379,CAFE BUENOS AIRES,RESTAURANTE,"ALSINA, ADOLFO 1600",Monserrat,Comuna 1
380,CAFECITO,CAFE,"MITRE, BARTOLOME 790",San Nicolas,Comuna 1
381,CAFE DE GARCIA,CAFE,SAN MARTIN AV. 1828,Caballito,Comuna 6
382,CAFE DE LA AMISTAD,BAR,JUNCAL 4499,Palermo,Comuna 14
383,CAFE DE LA CASONA,RESTAURANTE,CORRIENTES AV. 1979,Balvanera,Comuna 3
384,CAFE DE LA CIUDAD,CAFE,CORRIENTES AV. 999,San Nicolas,Comuna 1
385,CAFE DE LA ESQUINA,RESTAURANTE,ROSARIO 495,Caballito,Comuna 6
386,CAFE DE LA ESQUINA,CAFE,TUCUMAN 2300,Balvanera,Comuna 3
387,CAFE DE LA FACU,CAFE,CORDOBA AV. 2202,Balvanera,Comuna 3
388,CAFE DE LA FLOR,CAFE,"ALSINA, ADOLFO 1200",Monserrat,Comuna 1
389,CAFE DE LA PAIX,RESTAURANTE,"QUINTANA, MANUEL, PRES. AV. 595",Recoleta,Comuna 2
390,CAFE DE LA PLAZA,RESTAURANTE,LINCOLN AV. 3990,Villa Devoto,Comuna 11
391,CAFE DE LAS CIENCIAS,RESTAURANTE,JUNIN 785,Balvanera,Comuna 3
392,CAFE DE LAS CORTES,CAFE,TUCUMAN 1327,San Nicolas,Comuna 1
393,CAFE DE LA SEDA,BAR,ARMENIA 1820,Palermo,Comuna 14
394,CAFE DE LAS GALERIAS,CONFITERIA,FLORIDA 725,San Nicolas,Comuna 1
395,CAFE DE LAS LUCES,CAFE,BOLIVAR 240,Monserrat,Comuna 1
396,CAFE DE LA SUBASTA,BAR,RIO DE JANEIRO 54,Caballito,Comuna 6
397,CAFE DEL BOTANICO,CAFE,SANTA FE AV. 3799,Palermo,Comuna 14
398,CAFE DEL LIBERTADOR,CAFE,SAN MARTIN AV. 6202,Villa Devoto,Comuna 11
399,CAFE DE LOS INCAS,RESTAURANTE,DE LOS INCAS AV. 3909,Villa Ortuzar,Comuna 15
400,CAFE DEL SIGLO,RESTAURANTE,TUCUMAN 2101,Balvanera,Comuna 3
401,CAFE DE MI PAIS,CONFITERIA,TUCUMAN 299,San Nicolas,Comuna 1
402,CAFE EL URBANO,RESTAURANTE,SUIPACHA 237,San Nicolas,Comuna 1
403,CAFE FINANZAS,RESTAURANTE,LAVALLE 502,San Nicolas,Comuna 1
404,CAFE FLORENCIA,CAFE,GUEMES 3199,Recoleta,Comuna 2
405,CAFE FUNDADOR,CAFE,BERUTI 2954,Recoleta,Comuna 2
406,CAFE HOMERO,RESTAURANTE,LAVALLE 1501,San Nicolas,Comuna 1
407,CAFE JONATHAN,CAFE,"BEIRO, FRANCISCO AV. 4001",Villa Devoto,Comuna 11
408,CAFE JONATHAN,BAR,"MORENO, JOSE MARIA AV. 304",Caballito,Comuna 6
409,CAFE LA FORJA,RESTAURANTE,BACACAY 2414,Flores,Comuna 7
410,CAFE LA PAZ,RESTAURANTE,CORRIENTES AV. 1593,San Nicolas,Comuna 1
411,CAFE LEON,RESTAURANTE,RAMALLO 1736,NuÃƒÂ±ez,Comuna 13
412,CAFE LE PARC,,"GALLARDO, ANGEL AV. 401",Villa Crespo,Comuna 15
413,CAFE MARTINEZ,CAFE,AYACUCHO 1985,Recoleta,Comuna 2
414,CAFE MARTINEZ,CAFE,CORDOBA AV. 1499,Recoleta,Comuna 2
415,CAFE MARTINEZ,CAFE,DEL LIBERTADOR AV. 3598,Palermo,Comuna 14
416,CAFE MARTINEZ,CAFE,"SCALABRINI ORTIZ, RAUL 3195",Palermo,Comuna 14
417,CAFE MARTINIQUE,CAFE,PARANA 1156,Recoleta,Comuna 2
418,CAFE MONET,CAFE,"QUINTANA, MANUEL, PRES. 400",Recoleta,Comuna 2
419,CAFE MONSERRAT,CAFE,SAN JOSE 524,Monserrat,Comuna 1
420,CAFE ORLEANS,CAFE,CORDOBA AV. 499,Retiro,Comuna 1
421,CAFE PARAISO,CAFE,"ALVAREZ, DONATO, Tte. Gral. AV. 2080",Villa Gral. Mitre,Comuna 11
422,CAFE PELLEGRINI,RESTAURANTE,"PELLEGRINI, CARLOS 761",San Nicolas,Comuna 1
423,CAFE PLAZA,RESTAURANTE,SANTA FE AV. 999,Retiro,Comuna 1
424,CAFE QUINTANA,RESTAURANTE,"ORTIZ, ROBERTO M., Pres. 1865",Recoleta,Comuna 2
425,CAFE QUINTANA,RESTAURANTE,"QUINTANA, MANUEL, PRES. AV. 460",Recoleta,Comuna 2
426,CAFE ROMA,CAFE,OLAVARRIA 409,Boca,Comuna 4
427,CAFE SAN JUAN,RESTAURANTE,SAN JUAN AV. 450,San Telmo,Comuna 1
428,CAFE SMPSON,RESTAURANTE,URUGUAY 1026,Recoleta,Comuna 2
429,CAFE STATUS,CAFE,BALCARCE 254,Monserrat,Comuna 1
430,CAFE STERLING,RESTAURANTE,SARMIENTO 402,San Nicolas,Comuna 1
431,CAFETERIA 2003,RESTAURANTE,SAN JOSE 220,Monserrat,Comuna 1
432,CAFETERIA F.A.S,RESTAURANTE,PERDRIEL 25,Barracas,Comuna 4
433,CAFETERIA MONTEVIDEO,CAFE,MONTEVIDEO 667,San Nicolas,Comuna 1
434,CAFE TIEMPO,CAFE,BOYACA 1600,Villa Gral. Mitre,Comuna 11
435,CAFETIN,CAFE,JUNIN 16,Balvanera,Comuna 3
436,CAFE TORTONI,RESTAURANTE,DE MAYO AV. 825,Monserrat,Comuna 1
437,CAFE VIENES,BAR,"PERON, JUAN DOMINGO, TTE. GENERAL 893",San Nicolas,Comuna 1
438,CAFE VINCENT,CAFE,"PELLEGRINI, CARLOS 1123",Retiro,Comuna 1
439,CAFE Y BAR ENCUENTRO,BAR,RODRIGUEZ PEÃƒâ€˜A 780,San Nicolas,Comuna 1
440,CAFFE CITY,CAFE,CABILDO AV. 1209,Palermo,Comuna 14
441,CAFFE TABAC,BAR,DEL LIBERTADOR AV. 2300,Palermo,Comuna 14
442,CAFIOLO,RESTAURANTE,"YRIGOYEN, HIPOLITO 802",Monserrat,Comuna 1
443,CAIMUN,RESTAURANTE,CORRIENTES AV. 777,San Nicolas,Comuna 1
444,CALCIO,RESTAURANTE,RIVADAVIA AV. 5701,Caballito,Comuna 6
445,CALDEN DEL SOHO,BAR,HONDURAS 4701,Palermo,Comuna 14
446,CALE,RESTAURANTE,"SCALABRINI ORTIZ, RAUL AV. 1000",Villa Crespo,Comuna 15
447,CALLE ROY,RESTAURANTE,FITZ ROY 1519,Palermo,Comuna 14
448,CAMBALACHE,RESTAURANTE,AMENABAR 2204,Belgrano,Comuna 13
449,CAMBALACHE,RESTAURANTE,BOLIVAR 592,Monserrat,Comuna 1
450,CAMERUN,RESTAURANTE,"UDAONDO, GUILLERMO AV. 1308",Belgrano,Comuna 13
451,CAMINITO TANGO SHOW,CAFE,"VALLE IBERLUCEA del, Dr. 1158",Boca,Comuna 4
452,CAMPECHANO,RESTAURANTE,LARREA 1541,Recoleta,Comuna 2
453,CAMPO BRAVO,RESTAURANTE,BAEZ 292,Palermo,Comuna 14
454,CAMPO DEI FIORI,RESTAURANTE,"ALVAREZ, JULIAN 299",Villa Crespo,Comuna 15
455,CAMPO DEI FIORI,RESTAURANTE,REPUBLICA BOLIVARIANA DE VENEZUELA 1401,Monserrat,Comuna 1
456,CAMPO DEI FIORI,RESTAURANTE,ARCE 305,Palermo,Comuna 14
457,CAMPOS DEL PILAR,RESTAURANTE,PUEYRREDON AV. 1501,Recoleta,Comuna 2
458,CANAL,RESTAURANTE,"SALGUERO, JERONIMO 2692",Palermo,Comuna 14
459,CANDIDO,RESTAURANTE,CARRASCO AV. 394,Velez Sarsfield,Comuna 10
460,CANDILEJAS,CAFE,CORDOBA AV. 1147,Retiro,Comuna 1
461,CANELA,RESTAURANTE,JUNCAL 2124,Recoleta,Comuna 2
462,CANGAS DE NARCEA,RESTAURANTE,BERUTI 4643,Palermo,Comuna 14
463,CANTARES,RESTAURANTE,RIVADAVIA AV. 1180,Monserrat,Comuna 1
464,CANTEGRILL,RESTAURANTE,CORRIENTES AV. 4800,Villa Crespo,Comuna 15
465,CANTEGRILL,RESTAURANTE,RIVADAVIA AV. 7326,Flores,Comuna 7
466,Cantina Don Chicho,RESTAURANTE,ZARRAGA 3991,Villa Ortuzar,Comuna 15
467,CANTON,RESTAURANTE,PARAGUAY 2476,Recoleta,Comuna 2
468,CANTONES,RESTAURANTE,FRAY JUSTO SANTAMARIA DE ORO 2466,Palermo,Comuna 14
469,CAPATAZ,RESTAURANTE,MAIPU 529,San Nicolas,Comuna 1
470,CAPISCI,RESTAURANTE,"SAGASTA ISLA, JOSE MARIA 2072",Belgrano,Comuna 13
471,CAPITAN COCO,CAFE,RIOBAMBA 360,Balvanera,Comuna 3
472,CAPITELES,RESTAURANTE,SUIPACHA 130,San Nicolas,Comuna 1
473,CAPITULO V,RESTAURANTE,"ARANGUREN, JUAN F., Dr. 2802",Flores,Comuna 7
474,CAPRI,RESTAURANTE,PERU 602,Monserrat,Comuna 1
475,CAPRIATTI,RESTAURANTE,CORRIENTES AV. 1302,San Nicolas,Comuna 1
476,CAPRICCIO,RESTAURANTE,"GOYENA, PEDRO AV. 358",Caballito,Comuna 6
477,Caracas Bar,BAR,GUATEMALA 4802,Palermo,Comuna 14
478,CARA NAPOLI,RESTAURANTE,ALVAREZ THOMAS AV. 2302,Villa Ortuzar,Comuna 15
479,CARDINALE,RESTAURANTE,SAN MARTIN 1225,Retiro,Comuna 1
480,CARITO MORENA,RESTAURANTE,HONDURAS 5501,Palermo,Comuna 14
481,CARLITOS,RESTAURANTE,GUIDO 1962,Recoleta,Comuna 2
482,CARLITOS,RESTAURANTE,BRANDSEN 694,Boca,Comuna 4
483,CARMESI,RESTAURANTE,ARAOZ 2701,Palermo,Comuna 14
484,CARNAL,RESTAURANTE,"VEGA, NICETO, Cnel. AV. 5507",Palermo,Comuna 14
485,CARNER BAR,RESTAURANTE,CORDOBA AV. 2001,Recoleta,Comuna 2
486,CAROBEL,RESTAURANTE,SARMIENTO 964,San Nicolas,Comuna 1
487,CARROT,RESTAURANTE,PASO 327,Balvanera,Comuna 3
488,CARTAN,RESTAURANTE,"FALCON, RAMON L.,CNEL. 7158",Liniers,Comuna 9
489,CARTOON,RESTAURANTE,RIOBAMBA 1112,Recoleta,Comuna 2
490,CASABLANCA,RESTAURANTE,RIVADAVIA AV. 1901,Balvanera,Comuna 3
491,CASA DE LA NONNA,RESTAURANTE,ARENALES 2771,Recoleta,Comuna 2
492,CASA DE LAS PIZZAS,RESTAURANTE,"CALVO, CARLOS 637",San Telmo,Comuna 1
493,CASA ROCA,RESTAURANTE,SAN MARTIN 579,San Nicolas,Comuna 1
494,CASITA CHINA,RESTAURANTE,MAURE 1711,Palermo,Comuna 14
495,CASITAS II,RESTAURANTE,PASCO 212,Balvanera,Comuna 3
496,CASTELAR,RESTAURANTE,CORDOBA AV. 799,Retiro,Comuna 1
497,CASTILLO 601,RESTAURANTE,CASTILLO 601,Villa Crespo,Comuna 15
498,CATALINAS,RESTAURANTE,INDEPENDENCIA AV. 375,San Telmo,Comuna 1
499,CATALINO,RESTAURANTE,SARMIENTO 2227,Balvanera,Comuna 3
500,CATEDRAL,CAFE,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 6197",Villa Riachuelo,Comuna 8
501,CAVAS & CUEVAS GRAND BAR,RESTAURANTE,GUATEMALA 5650,Palermo,Comuna 14
502,C & D STYLE LIFE,RESTAURANTE,"BEIRO, FRANCISCO AV. 3261",Villa Devoto,Comuna 11
503,CECEPE,RESTAURANTE,"BEIRO, FRANCISCO AV. 4202",Villa Devoto,Comuna 11
504,CELTA BAR,RESTAURANTE,SARMIENTO 1702,San Nicolas,Comuna 1
505,CENTENARIO,RESTAURANTE,RIVADAVIA AV. 3192,Balvanera,Comuna 3
506,CENTENERA,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 914",Caballito,Comuna 6
507,CENTRAL BAR,RESTAURANTE,CORRIENTES AV. 1835,Balvanera,Comuna 3
508,CENTRO LALIN,RESTAURANTE,MORENO 1949,Balvanera,Comuna 3
509,CENTURY FOOD,RESTAURANTE,"MONTES DE OCA, MANUEL 1176",Barracas,Comuna 4
510,CERVANTES,RESTAURANTE,AZCUENAGA 250,Balvanera,Comuna 3
511,CERVANTES,RESTAURANTE,JUNIN 107,Balvanera,Comuna 3
512,CERVANTES II,RESTAURANTE,"PERON, JUAN DOMINGO, TTE. GENERAL 1883",Balvanera,Comuna 3
513,CERVATILLO,RESTAURANTE,RIOBAMBA 1193,Recoleta,Comuna 2
514,CERVATILLO II,BAR,AYACUCHO 1127,Recoleta,Comuna 2
515,CERVECERIA ARCE,RESTAURANTE,ARCE 375,Palermo,Comuna 14
516,CERVECERIA LOPEZ,RESTAURANTE,ALVAREZ THOMAS AV. 2136,Villa Ortuzar,Comuna 15
517,CHAJA,RESTAURANTE,"SALGUERO, JERONIMO 2069",Palermo,Comuna 14
518,CHAMPS ELYSEES,BAR,PUEYRREDON AV. 2501,Recoleta,Comuna 2
519,CHANTO OTTO,CAFE,SANTIAGO DEL ESTERO 1594,Constitucion,Comuna 1
520,CHAPLIN,RESTAURANTE,VIAMONTE 691,San Nicolas,Comuna 1
521,CHARLOTTE,BAR,DE LOS CORRALES AV. 7400,Mataderos,Comuna 9
522,CHARLY,RESTAURANTE,CONDARCO 16,Flores,Comuna 7
523,CHARLY BAR,CAFE,PAVON 1299,Constitucion,Comuna 1
524,CHARLY PIZZA BAR,RESTAURANTE,CAFAYATE 4187,Villa Lugano,Comuna 8
525,CHAVAL,RESTAURANTE,URUGUAY 286,San Nicolas,Comuna 1
526,CHAVELA RESTO BAR,RESTAURANTE,DEL LIBERTADOR AV. 7999,NuÃƒÂ±ez,Comuna 13
527,CHE BAR,CAFE,"ALEM, LEANDRO N. AV. 1036",Retiro,Comuna 1
528,"CHE, BO",RESTAURANTE,SALTA 178,Monserrat,Comuna 1
529,CHE BUENOS AIRES,RESTAURANTE,"ALVEAR, MARCELO T. De 1601",Recoleta,Comuna 2
530,CHE BUENOS AIRES,CAFE,DEL LIBERTADOR AV. 800,Retiro,Comuna 1
531,CHE CAFE,RESTAURANTE,"JUSTO, JUAN B. AV. 9499",Versalles,Comuna 10
532,CHECHO,RESTAURANTE,RAMALLO 1781,NuÃƒÂ±ez,Comuna 13
533,CHELO,RESTAURANTE,TUCUMAN 999,San Nicolas,Comuna 1
534,CHERIBO,CAFE,"CRUZ, OSVALDO AV. 2099",Barracas,Comuna 4
535,CHERYS,CAFE,"BEIRO, FRANCISCO AV. 5395",Villa Real,Comuna 10
536,CHEZ O!!,RESTAURANTE,ARENALES 2102,Recoleta,Comuna 2
537,CHICHE DE MATADEROS,RESTAURANTE,BRAGADO 6390,Mataderos,Comuna 9
538,CHINA ARGENTINA,RESTAURANTE,SANTA FE AV. 5300,Palermo,Comuna 14
539,CHINO CAFE RESTAURANTE,RESTAURANTE,MORON 5040,Villa Luro,Comuna 10
540,CHIQUILIN,RESTAURANTE,SARMIENTO 1599,San Nicolas,Comuna 1
541,CHIQUIN,,INDEPENDENCIA AV. 2302,San Cristobal,Comuna 3
542,CHOCOLATE,RESTAURANTE,NAZCA AV. 726,Flores,Comuna 7
543,CHRISTOPHE,RESTAURANTE,FITZ ROY 1994,Palermo,Comuna 14
544,CHUNGO,SANDWICHERIA,"PINO, Virrey del 2500",Colegiales,Comuna 13
545,CIBER,RESTAURANTE,SALTA 703,Monserrat,Comuna 1
546,CIELITO LINDO,RESTAURANTE,EL SALVADOR 4999,Palermo,Comuna 14
547,CIEN MOTIVOS,CAFE,SUAREZ 1502,Barracas,Comuna 4
548,CILANTRO COMEDOR MUNDANO,RESTAURANTE,SANCHEZ DE BUSTAMANTE 1186,Recoleta,Comuna 2
549,CINA BAR,RESTAURANTE,LAVALLE 2002,Balvanera,Comuna 3
550,CINCO ESQUINAS,RESTAURANTE,"ARANGUREN, JUAN F., Dr. 4587",Velez Sarsfield,Comuna 10
551,CINEMA,RESTAURANTE,CABILDO AV. 2088,Belgrano,Comuna 13
552,CIRANZO BAR,BAR,AVELLANEDA AV. 2523,Flores,Comuna 7
553,CIRCE,RESTAURANTE,SARMIENTO 537,San Nicolas,Comuna 1
554,CIRCULO 9 DE JULIO,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 568",Caballito,Comuna 6
555,CITADINO,RESTAURANTE,SUIPACHA 624,San Nicolas,Comuna 1
556,CITY BAR,BAR,RECONQUISTA 650,San Nicolas,Comuna 1
557,CITY CORNER,BAR,FLORIDA 501,San Nicolas,Comuna 1
558,CLAPTON,BAR,RIVADAVIA AV. 7399,Flores,Comuna 7
559,CLARIDGE'S,RESTAURANTE,TUCUMAN 535,San Nicolas,Comuna 1
560,CLARK CENTRO,RESTAURANTE,SARMIENTO 645,San Nicolas,Comuna 1
561,CLARK'S,RESTAURANTE,JUNIN 1777,Recoleta,Comuna 2
562,CLARO,RESTAURANTE,LOPE DE VEGA AV. 1400,Villa Luro,Comuna 10
563,CLASICAS,RESTAURANTE,CORDOBA AV. 2045,Recoleta,Comuna 2
564,CLASICA Y MODERNA,RESTAURANTE,CALLAO AV. 892,Recoleta,Comuna 2
565,CLASICO,RESTAURANTE,BERUTI 4594,Palermo,Comuna 14
566,CLASICO,BAR,HUMBERTO 1º 501,San Telmo,Comuna 1
567,CLASS,RESTAURANTE,LA PLATA AV. 797,Caballito,Comuna 6
568,CLOE,RESTAURANTE,CUBA 2208,Belgrano,Comuna 13
569,CLOVER LIGHT,RESTAURANTE,RODRIGUEZ PEÃƒâ€˜A 433,San Nicolas,Comuna 1
570,CLUB DANES,RESTAURANTE,"ALEM, LEANDRO N. AV. 1074",Retiro,Comuna 1
571,CLUB DEL VINO,RESTAURANTE,"CABRERA, JOSE A. 4737",Palermo,Comuna 14
572,CLUB EROS,RESTAURANTE,URIARTE 1609,Palermo,Comuna 14
573,CLUB S.D.C VIENTO NORTE,CAFE,"ACHA, MARIANO, Gral. 3743",Saavedra,Comuna 12
574,COCINA & CIA,RESTAURANTE,CORRIENTES AV. 4673,Almagro,Comuna 5
575,COCINA & CIA,RESTAURANTE,SANTA FE AV. 2461,Recoleta,Comuna 2
576,COCINA REGIONAL 1810,RESTAURANTE,"ALVAREZ, JULIAN 1918",Palermo,Comuna 14
577,COCO,RESTAURANTE,CORRALES 6555,Villa Riachuelo,Comuna 8
578,COCO PASO,RESTAURANTE,TUCUMAN 938,San Nicolas,Comuna 1
579,COFETIN,RESTAURANTE,RECONQUISTA 286,San Nicolas,Comuna 1
580,COGHLAN,RESTAURANTE,MONROE AV. 3600,Belgrano,Comuna 13
581,COLLAGE BAR POOL,RESTAURANTE,"BEIRO, FRANCISCO AV. 4749",Villa Devoto,Comuna 11
582,COMANDERS,RESTAURANTE,VERA 601,Villa Crespo,Comuna 15
583,COMES,RESTAURANTE,GUIDO 1931,Recoleta,Comuna 2
584,COMET,RESTAURANTE,BELGRANO AV. 217,Monserrat,Comuna 1
585,COMETE TODO,RESTAURANTE,VARELA AV. 605,Flores,Comuna 7
586,COMO,RESTAURANTE,"ARGUIBEL, ANDRES 2859",Palermo,Comuna 14
587,COMODINES,RESTAURANTE,PARAGUAY 2402,Recoleta,Comuna 2
588,COMODINES,RESTAURANTE,GUEMES 4400,Palermo,Comuna 14
589,COMO? EL 12,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 1799",Puerto Madero,Comuna 1
590,COMO TE EXTRAÃƒâ€˜O CLARA,RESTAURANTE,"YRIGOYEN, HIPOLITO 3235",Balvanera,Comuna 3
591,COMPUBAR,RESTAURANTE,CORRIENTES AV. 1686,San Nicolas,Comuna 1
592,CONCEPTO,RESTAURANTE,BONPLAND 1670,Palermo,Comuna 14
593,CONCEPTO INDIGO,RESTAURANTE,"LOPEZ, VICENTE 2152",Recoleta,Comuna 2
594,CONCEPTO INDIGO,RESTAURANTE,LAS HERAS GENERAL AV. 3195,Palermo,Comuna 14
595,CONFINTERIA ANTIGUA L'AIGLON,RESTAURANTE,CALLAO AV. 98,Balvanera,Comuna 3
596,CONFITERIA ATECA,RESTAURANTE,LIMA 603,Monserrat,Comuna 1
597,CONFITERIA IDEAL,RESTAURANTE,SUIPACHA 384,San Nicolas,Comuna 1
598,CONFITERIA LA FAMILIA,RESTAURANTE,PASTEUR 176,Balvanera,Comuna 3
599,CONFITERIA LE CARAVELLE,RESTAURANTE,LAVALLE 726,San Nicolas,Comuna 1
600,CONFITERIA NINI,RESTAURANTE,VARELA AV. 1170,Flores,Comuna 7
601,CONFITERIA PALERMO,RESTAURANTE,SANTA FE AV. 4599,Palermo,Comuna 14
602,CONFITERIA SAN JOSE,CONFITERIA,"CALVO, CARLOS 1400",Constitucion,Comuna 1
603,CONFITERIA SIGLO XXI,RESTAURANTE,CORRIENTES AV. 5500,Villa Crespo,Comuna 15
604,CONGRESO3795,RESTAURANTE,CONGRESO AV. 3795,Coghlan,Comuna 12
605,CONGRESO PLAZA,RESTAURANTE,"YRIGOYEN, HIPOLITO AV. 1502",Monserrat,Comuna 1
606,CONTACTO,RESTAURANTE,FITZ ROY 1663,Palermo,Comuna 14
607,CONTACTO PUB,PUB,BACACAY 1715,Flores,Comuna 7
608,CONTIGO PERU,RESTAURANTE,ECHEVERRIA 1627,Belgrano,Comuna 13
