,nombre,categoria,direccion_completa,barrio,comuna
1941,MIRO,RESTAURANTE,PUEYRREDON AV. 1841,Recoleta,Comuna 2
1942,MIS ANTOJOS,CAFE,"DIAZ, CNEL. AV. 1780",Palermo,Comuna 14
1943,MISION PLAZA,RESTAURANTE,NUEVA YORK 4048,Villa Devoto,Comuna 11
1944,MISTER PEPPER,CAFE,BAEZ 121,Palermo,Comuna 14
1945,MISTER PIZZA,,"VALLE, ARISTOBULO DEL 1499",Barracas,Comuna 4
1946,MISTICO,,JUNIN 1121,Recoleta,Comuna 2
1947,MITZVA,CAFE,SAN MARTIN AV. 1518,Caballito,Comuna 6
1948,MI VACA Y YO,RESTAURANTE,SEGUROLA AV. 602,Velez Sarsfield,Comuna 10
1949,MOB PETIT,RESTAURANTE,ZAVALETA 393,Parque Patricios,Comuna 4
1950,MOCTEZUMA,RESTAURANTE,GAONA AV. 1363,Caballito,Comuna 6
1951,MODENA,RESTAURANTE,PARAGUAY 1601,Recoleta,Comuna 2
1952,MODENA DESING,RESTAURANTE,"FIGUEROA ALCORTA, PRES. AV. 2270",Recoleta,Comuna 2
1953,MODESTO BARREIRO,PUB,DE LOS CORRALES AV. 7296,Mataderos,Comuna 9
1954,MOLA MOLA,CAFE,MANSO JUANA 1606,Puerto Madero,Comuna 1
1955,MOLIERE,RESTAURANTE,CHILE 899,Monserrat,Comuna 1
1956,MOLIERE,RESTAURANTE,JUNCAL 1293,Retiro,Comuna 1
1957,MOLIERE,,BALCARCE 682,Monserrat,Comuna 1
1958,MOLIERE CAFE,RESTAURANTE,JUNCAL 1293,Retiro,Comuna 1
1959,MONACO,RESTAURANTE,"LOPEZ, VICENTE 2034",Recoleta,Comuna 2
1960,MONDO SPAGHETTI,RESTAURANTE,FLORIDA 787,San Nicolas,Comuna 1
1961,MONDO SPAGUETTI,RESTAURANTE,CABILDO AV. 1829,Belgrano,Comuna 13
1962,MONET,CAFE,"SAENZ PEÃƒâ€˜A, LUIS, PRES. 299",Monserrat,Comuna 1
1963,MONSE'S RESTO BAR,,SAN LORENZO 365,San Telmo,Comuna 1
1964,MONTANA RAUCH,RESTAURANTE,"ORTIZ, ROBERTO M., Pres. 1813",Recoleta,Comuna 2
1965,MONTECARLO,BAR,PARAGUAY 5199,Palermo,Comuna 14
1966,MONTES DE OCA,,"MONTES DE OCA, MANUEL 1595",Barracas,Comuna 4
1967,MONTES DE OCA 101,,"MONTES DE OCA, MANUEL 101",Barracas,Comuna 4
1968,MONTOYA,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 152",Puerto Madero,Comuna 1
1969,MONTREAL,CAFE,RIVADAVIA AV. 4199,Almagro,Comuna 5
1970,MONTSERRAT,CAFE,REPUBLICA BOLIVARIANA DE VENEZUELA 800,Monserrat,Comuna 1
1971,MORELIA,BAR,HUMBOLDT 2000,Palermo,Comuna 14
1972,MORENA BAR,RESTAURANTE,VIAMONTE 1872,Balvanera,Comuna 3
1973,MORETO,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 4501",Villa Luro,Comuna 10
1974,MORPHY,,CIUDAD DE LA PAZ 1315,Colegiales,Comuna 13
1975,MORRIÃƒâ€˜A,,ZAPATA 301,Palermo,Comuna 14
1976,MOTIVO,RESTAURANTE,"PERON, JUAN DOMINGO, TTE. GENERAL 301",San Nicolas,Comuna 1
1977,MOVIL,CAFE,"ALEM, LEANDRO N. AV. 742",San Nicolas,Comuna 1
1978,MR. PIZZA,,"MONTES DE OCA, MANUEL 1424",Barracas,Comuna 4
1979,MUNDANO,RESTAURANTE,MALABIA 1401,Palermo,Comuna 14
1980,MUNDIAL,,"MONTES DE OCA, MANUEL 282",Barracas,Comuna 4
1981,MUNDO BIZARRO,RESTAURANTE,SERRANO 1222,Palermo,Comuna 14
1982,MUNICH RECOLETA,RESTAURANTE,"ORTIZ, ROBERTO M., Pres. 1871",Recoleta,Comuna 2
1983,MURASAKI,CAFE,FLORIDA 725,San Nicolas,Comuna 1
1984,MURILLO,CAFE,RIVADAVIA AV. 3801,Almagro,Comuna 5
1985,MURILLO,RESTAURANTE,RIVADAVIA AV. 2501,Balvanera,Comuna 3
1986,MUSEL,BAR,ESTADOS UNIDOS 1000,Constitucion,Comuna 1
1987,MUSEO DEL JAMON,RESTAURANTE,CERRITO 8,San Nicolas,Comuna 1
1988,MUSEO RENAULT,RESTAURANTE,"FIGUEROA ALCORTA, PRES. AV. 3399",Palermo,Comuna 14
1989,MUZZARELLA,CONFITERIA,CASEROS AV. 2080,Parque Patricios,Comuna 4
1990,MY BAR,RESTAURANTE,ESMERALDA 320,San Nicolas,Comuna 1
1991,MY FRENCH,RESTAURANTE,FRENCH 2964,Recoleta,Comuna 2
1992,MY HOUSE,RESTAURANTE,"SALGUERO, JERONIMO 2998",Palermo,Comuna 14
1993,MYKONOS,RESTAURANTE,OLLEROS AV. 1752,Palermo,Comuna 14
1994,NACHA,RESTAURANTE,GAONA AV. 4810,Velez Sarsfield,Comuna 10
1995,NACHA,CAFE,GAONA AV. 3086,Flores,Comuna 7
1996,NAM RESTO BAR,RESTAURANTE,MONTAÃƒâ€˜ESES 2764,Belgrano,Comuna 13
1997,NANAKA,BAR,HUMBERTO 1º 599,San Telmo,Comuna 1
1998,NANTES,RESTAURANTE,TUCUMAN 1617,San Nicolas,Comuna 1
1999,NAPOLES,RESTAURANTE,RIVADAVIA AV. 1765,San Nicolas,Comuna 1
2000,NARANCO,RESTAURANTE,"MITRE, BARTOLOME 1201",San Nicolas,Comuna 1
2001,NASTASE,PUB,SAN MARTIN AV. 6053,Agronomia,Comuna 15
2002,NASU,CAFE,AZCUENAGA 215,Balvanera,Comuna 3
2003,NATALIO,RESTAURANTE,PARANA 550,San Nicolas,Comuna 1
2004,NATURITY,CAFE,LAVALLE 1901,Balvanera,Comuna 3
2005,NEMO,RESTAURANTE,CABELLO 3672,Palermo,Comuna 14
2006,NEW CAFFEE,CAFE,CORRIENTES AV. 2006,Balvanera,Comuna 3
2007,NEW DUNCAN,RESTAURANTE,CORRIENTES AV. 4315,Almagro,Comuna 5
2008,NEW JONATHAN,RESTAURANTE,"QUINTEROS, LIDORO J. AV. 1200",Belgrano,Comuna 13
2009,NEW MOUSTACHE,CAFE,GAONA AV. 3200,Flores,Comuna 7
2010,NEW PORT,PUB,JUNIN 1735,Recoleta,Comuna 2
2011,NICETO CLUB,BAR,"VEGA, NICETO, Cnel. AV. 5510",Palermo,Comuna 14
2012,NICO,RESTAURANTE,"GALLARDO, ANGEL AV. 30",Almagro,Comuna 5
2013,NICO'S,RESTAURANTE,ALBARELLOS AV. 2884,Villa Pueyrredon,Comuna 12
2014,NIHONBASHI,RESTAURANTE,MORENO 2075,Balvanera,Comuna 3
2015,NIKO'S,BAR,PASEO COLON AV. 1327,San Telmo,Comuna 1
2016,NIÃƒâ€˜A BONITA,RESTAURANTE,CORRIENTES AV. 1715,San Nicolas,Comuna 1
2017,NINA CAFE,RESTAURANTE,ZAVALIA 2132,Belgrano,Comuna 13
2018,NINJA ROBATA SUSHI BAR,RESTAURANTE,CAMARGO 1300,Villa Crespo,Comuna 15
2019,NIXTO,RESTAURANTE,"GALLARDO, ANGEL AV. 612",Caballito,Comuna 6
2020,NIZA,PUB,JUNCAL 2781,Recoleta,Comuna 2
2021,NIZA,RESTAURANTE,OLAZABAL 2899,Belgrano,Comuna 13
2022,NOGARO,RESTAURANTE,"ROCA, JULIO A., PRESIDENTE AV. 561",Monserrat,Comuna 1
2023,NOLITA,RESTAURANTE,SANCHEZ DE BUSTAMANTE 2428,Recoleta,Comuna 2
2024,NONNO BACHICHA,RESTAURANTE,"VILLAFAÃƒâ€˜E, WENCESLAO 396",Boca,Comuna 4
